"country_code","series_code","year","value"
ABW,EG.USE.COMM.GD.PP.KD,"2006",NA
ABW,EG.USE.COMM.GD.PP.KD,"2007",NA
ABW,EG.USE.COMM.GD.PP.KD,"2008",NA
ABW,EG.USE.COMM.GD.PP.KD,"2009",NA
ABW,EG.USE.COMM.GD.PP.KD,"2010",NA
ABW,EG.USE.COMM.GD.PP.KD,"2011",NA
ABW,EG.USE.COMM.GD.PP.KD,"2012",NA
ABW,EG.USE.COMM.GD.PP.KD,"2013",NA
ABW,EG.USE.COMM.GD.PP.KD,"2014",NA
ABW,EG.USE.COMM.GD.PP.KD,"2015",NA
ABW,IT.NET.USER.P2,"2006",28.0
ABW,IT.NET.USER.P2,"2007",30.9
ABW,IT.NET.USER.P2,"2008",52.0
ABW,IT.NET.USER.P2,"2009",58.0
ABW,IT.NET.USER.P2,"2010",62.0
ABW,IT.NET.USER.P2,"2011",69.0
ABW,IT.NET.USER.P2,"2012",74.0
ABW,IT.NET.USER.P2,"2013",78.9
ABW,IT.NET.USER.P2,"2014",83.78
ABW,IT.NET.USER.P2,"2015",88.66122693
AFG,EG.USE.COMM.GD.PP.KD,"2006",NA
AFG,EG.USE.COMM.GD.PP.KD,"2007",NA
AFG,EG.USE.COMM.GD.PP.KD,"2008",NA
AFG,EG.USE.COMM.GD.PP.KD,"2009",NA
AFG,EG.USE.COMM.GD.PP.KD,"2010",NA
AFG,EG.USE.COMM.GD.PP.KD,"2011",NA
AFG,EG.USE.COMM.GD.PP.KD,"2012",NA
AFG,EG.USE.COMM.GD.PP.KD,"2013",NA
AFG,EG.USE.COMM.GD.PP.KD,"2014",NA
AFG,EG.USE.COMM.GD.PP.KD,"2015",NA
AFG,IT.NET.USER.P2,"2006",2.107123645
AFG,IT.NET.USER.P2,"2007",1.9
AFG,IT.NET.USER.P2,"2008",1.84
AFG,IT.NET.USER.P2,"2009",3.55
AFG,IT.NET.USER.P2,"2010",4.0
AFG,IT.NET.USER.P2,"2011",5.0
AFG,IT.NET.USER.P2,"2012",5.454545455
AFG,IT.NET.USER.P2,"2013",5.9
AFG,IT.NET.USER.P2,"2014",7.0
AFG,IT.NET.USER.P2,"2015",8.26
AGO,EG.USE.COMM.GD.PP.KD,"2006",99.64273421
AGO,EG.USE.COMM.GD.PP.KD,"2007",86.27779286
AGO,EG.USE.COMM.GD.PP.KD,"2008",82.05250872
AGO,EG.USE.COMM.GD.PP.KD,"2009",87.06968099
AGO,EG.USE.COMM.GD.PP.KD,"2010",88.28469253
AGO,EG.USE.COMM.GD.PP.KD,"2011",88.27667206
AGO,EG.USE.COMM.GD.PP.KD,"2012",92.10532479
AGO,EG.USE.COMM.GD.PP.KD,"2013",86.31524544
AGO,EG.USE.COMM.GD.PP.KD,"2014",87.1067883
AGO,EG.USE.COMM.GD.PP.KD,"2015",NA
AGO,IT.NET.USER.P2,"2006",1.5
AGO,IT.NET.USER.P2,"2007",1.7
AGO,IT.NET.USER.P2,"2008",1.9
AGO,IT.NET.USER.P2,"2009",2.3
AGO,IT.NET.USER.P2,"2010",2.8
AGO,IT.NET.USER.P2,"2011",3.1
AGO,IT.NET.USER.P2,"2012",6.5
AGO,IT.NET.USER.P2,"2013",8.9
AGO,IT.NET.USER.P2,"2014",10.2
AGO,IT.NET.USER.P2,"2015",12.4
ALB,EG.USE.COMM.GD.PP.KD,"2006",86.15415991
ALB,EG.USE.COMM.GD.PP.KD,"2007",77.65793214
ALB,EG.USE.COMM.GD.PP.KD,"2008",77.64528548
ALB,EG.USE.COMM.GD.PP.KD,"2009",76.88647198
ALB,EG.USE.COMM.GD.PP.KD,"2010",73.45028875
ALB,EG.USE.COMM.GD.PP.KD,"2011",74.93987558
ALB,EG.USE.COMM.GD.PP.KD,"2012",66.33635256
ALB,EG.USE.COMM.GD.PP.KD,"2013",76.36946241
ALB,EG.USE.COMM.GD.PP.KD,"2014",75.54870707
ALB,EG.USE.COMM.GD.PP.KD,"2015",NA
ALB,IT.NET.USER.P2,"2006",9.609991316
ALB,IT.NET.USER.P2,"2007",15.03611541
ALB,IT.NET.USER.P2,"2008",23.86
ALB,IT.NET.USER.P2,"2009",41.2
ALB,IT.NET.USER.P2,"2010",45.0
ALB,IT.NET.USER.P2,"2011",49.0
ALB,IT.NET.USER.P2,"2012",54.65595904
ALB,IT.NET.USER.P2,"2013",57.2
ALB,IT.NET.USER.P2,"2014",60.1
ALB,IT.NET.USER.P2,"2015",63.2529327
AND,EG.USE.COMM.GD.PP.KD,"2006",NA
AND,EG.USE.COMM.GD.PP.KD,"2007",NA
AND,EG.USE.COMM.GD.PP.KD,"2008",NA
AND,EG.USE.COMM.GD.PP.KD,"2009",NA
AND,EG.USE.COMM.GD.PP.KD,"2010",NA
AND,EG.USE.COMM.GD.PP.KD,"2011",NA
AND,EG.USE.COMM.GD.PP.KD,"2012",NA
AND,EG.USE.COMM.GD.PP.KD,"2013",NA
AND,EG.USE.COMM.GD.PP.KD,"2014",NA
AND,EG.USE.COMM.GD.PP.KD,"2015",NA
AND,IT.NET.USER.P2,"2006",48.936847
AND,IT.NET.USER.P2,"2007",70.87
AND,IT.NET.USER.P2,"2008",70.04
AND,IT.NET.USER.P2,"2009",78.53
AND,IT.NET.USER.P2,"2010",81.0
AND,IT.NET.USER.P2,"2011",81.0
AND,IT.NET.USER.P2,"2012",86.43442462
AND,IT.NET.USER.P2,"2013",94.0
AND,IT.NET.USER.P2,"2014",95.9
AND,IT.NET.USER.P2,"2015",96.91
ARB,EG.USE.COMM.GD.PP.KD,"2006",107.8282651
ARB,EG.USE.COMM.GD.PP.KD,"2007",107.7046793
ARB,EG.USE.COMM.GD.PP.KD,"2008",109.5091282
ARB,EG.USE.COMM.GD.PP.KD,"2009",114.8078262
ARB,EG.USE.COMM.GD.PP.KD,"2010",116.2876448
ARB,EG.USE.COMM.GD.PP.KD,"2011",113.6624825
ARB,EG.USE.COMM.GD.PP.KD,"2012",116.4613711
ARB,EG.USE.COMM.GD.PP.KD,"2013",113.3429126
ARB,EG.USE.COMM.GD.PP.KD,"2014",116.3525534
ARB,EG.USE.COMM.GD.PP.KD,"2015",NA
ARB,IT.NET.USER.P2,"2006",11.66378867
ARB,IT.NET.USER.P2,"2007",14.31521389
ARB,IT.NET.USER.P2,"2008",18.49590568
ARB,IT.NET.USER.P2,"2009",21.42634931
ARB,IT.NET.USER.P2,"2010",24.77594069
ARB,IT.NET.USER.P2,"2011",26.58276395
ARB,IT.NET.USER.P2,"2012",30.17823282
ARB,IT.NET.USER.P2,"2013",32.92803836
ARB,IT.NET.USER.P2,"2014",36.45795837
ARB,IT.NET.USER.P2,"2015",39.92935829
ARE,EG.USE.COMM.GD.PP.KD,"2006",100.0491641
ARE,EG.USE.COMM.GD.PP.KD,"2007",105.2353867
ARE,EG.USE.COMM.GD.PP.KD,"2008",120.6492936
ARE,EG.USE.COMM.GD.PP.KD,"2009",128.6864033
ARE,EG.USE.COMM.GD.PP.KD,"2010",130.3256728
ARE,EG.USE.COMM.GD.PP.KD,"2011",127.1066869
ARE,EG.USE.COMM.GD.PP.KD,"2012",129.3167645
ARE,EG.USE.COMM.GD.PP.KD,"2013",125.9015934
ARE,EG.USE.COMM.GD.PP.KD,"2014",121.5021528
ARE,EG.USE.COMM.GD.PP.KD,"2015",NA
ARE,IT.NET.USER.P2,"2006",52.0
ARE,IT.NET.USER.P2,"2007",61.0
ARE,IT.NET.USER.P2,"2008",63.0
ARE,IT.NET.USER.P2,"2009",64.0
ARE,IT.NET.USER.P2,"2010",68.0
ARE,IT.NET.USER.P2,"2011",78.0
ARE,IT.NET.USER.P2,"2012",84.9999915
ARE,IT.NET.USER.P2,"2013",88.0
ARE,IT.NET.USER.P2,"2014",90.4
ARE,IT.NET.USER.P2,"2015",90.5
ARG,EG.USE.COMM.GD.PP.KD,"2006",110.9215923
ARG,EG.USE.COMM.GD.PP.KD,"2007",103.0740397
ARG,EG.USE.COMM.GD.PP.KD,"2008",104.3094949
ARG,EG.USE.COMM.GD.PP.KD,"2009",107.8064237
ARG,EG.USE.COMM.GD.PP.KD,"2010",101.9813022
ARG,EG.USE.COMM.GD.PP.KD,"2011",98.50162387
ARG,EG.USE.COMM.GD.PP.KD,"2012",99.87482463
ARG,EG.USE.COMM.GD.PP.KD,"2013",100.1653009
ARG,EG.USE.COMM.GD.PP.KD,"2014",107.2047826
ARG,EG.USE.COMM.GD.PP.KD,"2015",NA
ARG,IT.NET.USER.P2,"2006",20.9272021
ARG,IT.NET.USER.P2,"2007",25.94663294
ARG,IT.NET.USER.P2,"2008",28.11262348
ARG,IT.NET.USER.P2,"2009",34.0
ARG,IT.NET.USER.P2,"2010",45.0
ARG,IT.NET.USER.P2,"2011",51.0
ARG,IT.NET.USER.P2,"2012",55.8
ARG,IT.NET.USER.P2,"2013",59.9
ARG,IT.NET.USER.P2,"2014",64.7
ARG,IT.NET.USER.P2,"2015",68.04306411
ARM,EG.USE.COMM.GD.PP.KD,"2006",141.5376032
ARM,EG.USE.COMM.GD.PP.KD,"2007",138.7398144
ARM,EG.USE.COMM.GD.PP.KD,"2008",136.6642678
ARM,EG.USE.COMM.GD.PP.KD,"2009",138.3057493
ARM,EG.USE.COMM.GD.PP.KD,"2010",128.7554725
ARM,EG.USE.COMM.GD.PP.KD,"2011",134.4831346
ARM,EG.USE.COMM.GD.PP.KD,"2012",137.2320367
ARM,EG.USE.COMM.GD.PP.KD,"2013",129.7072019
ARM,EG.USE.COMM.GD.PP.KD,"2014",127.7200074
ARM,EG.USE.COMM.GD.PP.KD,"2015",NA
ARM,IT.NET.USER.P2,"2006",5.631787777
ARM,IT.NET.USER.P2,"2007",6.021253397
ARM,IT.NET.USER.P2,"2008",6.21
ARM,IT.NET.USER.P2,"2009",15.3
ARM,IT.NET.USER.P2,"2010",25.0
ARM,IT.NET.USER.P2,"2011",32.0
ARM,IT.NET.USER.P2,"2012",37.5
ARM,IT.NET.USER.P2,"2013",41.9
ARM,IT.NET.USER.P2,"2014",54.62280586
ARM,IT.NET.USER.P2,"2015",59.10237771
ASM,EG.USE.COMM.GD.PP.KD,"2006",NA
ASM,EG.USE.COMM.GD.PP.KD,"2007",NA
ASM,EG.USE.COMM.GD.PP.KD,"2008",NA
ASM,EG.USE.COMM.GD.PP.KD,"2009",NA
ASM,EG.USE.COMM.GD.PP.KD,"2010",NA
ASM,EG.USE.COMM.GD.PP.KD,"2011",NA
ASM,EG.USE.COMM.GD.PP.KD,"2012",NA
ASM,EG.USE.COMM.GD.PP.KD,"2013",NA
ASM,EG.USE.COMM.GD.PP.KD,"2014",NA
ASM,EG.USE.COMM.GD.PP.KD,"2015",NA
ASM,IT.NET.USER.P2,"2006",NA
ASM,IT.NET.USER.P2,"2007",NA
ASM,IT.NET.USER.P2,"2008",NA
ASM,IT.NET.USER.P2,"2009",NA
ASM,IT.NET.USER.P2,"2010",NA
ASM,IT.NET.USER.P2,"2011",NA
ASM,IT.NET.USER.P2,"2012",NA
ASM,IT.NET.USER.P2,"2013",NA
ASM,IT.NET.USER.P2,"2014",NA
ASM,IT.NET.USER.P2,"2015",NA
ATG,EG.USE.COMM.GD.PP.KD,"2006",70.04926772
ATG,EG.USE.COMM.GD.PP.KD,"2007",65.45781811
ATG,EG.USE.COMM.GD.PP.KD,"2008",NA
ATG,EG.USE.COMM.GD.PP.KD,"2009",NA
ATG,EG.USE.COMM.GD.PP.KD,"2010",NA
ATG,EG.USE.COMM.GD.PP.KD,"2011",NA
ATG,EG.USE.COMM.GD.PP.KD,"2012",NA
ATG,EG.USE.COMM.GD.PP.KD,"2013",NA
ATG,EG.USE.COMM.GD.PP.KD,"2014",NA
ATG,EG.USE.COMM.GD.PP.KD,"2015",NA
ATG,IT.NET.USER.P2,"2006",30.0
ATG,IT.NET.USER.P2,"2007",34.0
ATG,IT.NET.USER.P2,"2008",38.0
ATG,IT.NET.USER.P2,"2009",42.0
ATG,IT.NET.USER.P2,"2010",47.0
ATG,IT.NET.USER.P2,"2011",52.0
ATG,IT.NET.USER.P2,"2012",58.0
ATG,IT.NET.USER.P2,"2013",63.4
ATG,IT.NET.USER.P2,"2014",67.78
ATG,IT.NET.USER.P2,"2015",70.0
AUS,EG.USE.COMM.GD.PP.KD,"2006",144.741423
AUS,EG.USE.COMM.GD.PP.KD,"2007",144.2556475
AUS,EG.USE.COMM.GD.PP.KD,"2008",144.3127334
AUS,EG.USE.COMM.GD.PP.KD,"2009",142.0643838
AUS,EG.USE.COMM.GD.PP.KD,"2010",139.7142202
AUS,EG.USE.COMM.GD.PP.KD,"2011",137.1367847
AUS,EG.USE.COMM.GD.PP.KD,"2012",130.3508169
